,CHENNAI,DELHI,LUCKNOW,SHIMLA,MUMBAI,AHMEDABAD,KOLKATA,PATNA,GUWAHATI,PORT BLAIR,HYDERABAD
0,4.3479083353401595,9.959182604843118,4.443458485894839,4.614668244600052,5.475170973582463,3.091438924021266,3.434446233049937,3.379309612521586,3.060425249665267,7.45665423511649,4.354278020120429
1,4.3479083353401595,9.959182604843118,4.4111247179678506,4.7462471919684734,5.43358036080541,3.091438924021266,3.434446233049937,3.379309612521586,3.060425249665267,7.45665423511649,4.388176325205174
2,4.341553820289992,9.959182604843118,4.4111247179678506,4.656938195879816,5.455765422120906,3.091438924021266,3.45752315612686,3.379309612521586,3.1124808545159035,7.45665423511649,4.42207463028992
3,4.341553820289992,9.959182604843118,4.397972365420687,4.648065802808059,5.444855458275314,3.091438924021266,3.4462237210986113,3.379309612521586,3.1124808545159035,7.45665423511649,4.415606113136067
4,4.341553820289992,9.959182604843118,4.384820012873523,4.639193409736302,5.4339454944297225,3.091438924021266,3.434924286070363,3.379309612521586,3.1124808545159035,7.45665423511649,4.409137595982215
5,4.341553820289992,9.959182604843118,4.371667660326359,4.630321016664546,5.423035530584129,3.091438924021266,3.4236248510421143,3.379309612521586,3.1124808545159035,7.45665423511649,4.402669078828363
6,4.333861512597684,9.959182604843118,4.372560666968096,4.621448623592788,5.412125566738538,3.0841925472096716,3.4018857206073316,3.349558785298102,3.260975904769587,7.45665423511649,4.388176325205174
7,4.3646032990325665,9.959182604843118,4.373453673609833,4.612576230521032,5.417417141916542,3.0841925472096716,3.4018857206073316,3.3198079580746183,3.243330958916409,7.45665423511649,4.366437194770392
8,4.332715461986291,9.959182604843118,4.337221789551862,4.622217596278832,5.385359808237985,3.0841925472096716,3.3788087975304086,3.3198079580746183,3.243330958916409,7.45665423511649,4.3325388896856465
9,4.362983121740277,9.959182604843118,4.337221789551862,4.63185896203663,5.385359808237985,3.0841925472096716,3.3788087975304086,3.3198079580746183,3.243330958916409,7.45665423511649,4.298640584600901
10,4.3427997106209775,9.959182604843118,4.337221789551862,4.63185896203663,5.380162851660925,3.0841925472096716,3.364924207119757,3.3198079580746183,3.2695946064875625,7.455204959754171,4.298640584600901
11,4.322616299501679,9.959182604843118,4.337221789551862,4.63185896203663,5.374965895083866,3.0841925472096716,3.3510396167091057,3.3198079580746183,3.295858254058716,7.453755684391853,4.298640584600901
12,4.302432888382379,9.959182604843118,4.337221789551862,4.63185896203663,5.369768938506808,3.0841925472096716,3.337155026298454,3.3198079580746183,3.32212190162987,7.452306409029534,4.298640584600901
13,4.303320768618086,9.959182604843118,4.310631271251689,4.618701067299788,5.384348828900361,3.0841925472096716,3.396962282534282,3.3198079580746183,3.32212190162987,7.450857133667215,4.298640584600901
14,4.304208648853791,9.959182604843118,4.284040752951518,4.605543172562945,5.398928719293914,3.0841925472096716,3.45676953877011,3.3198079580746183,3.32212190162987,7.449407858304896,4.298640584600901
15,4.305096529089498,9.959182604843118,4.284040752951518,4.592385277826104,5.337704229497996,3.0841925472096716,3.45676953877011,3.3198079580746183,3.32212190162987,7.449407858304896,4.3325388896856465
16,4.305984409325204,9.959182604843118,4.294140590425398,4.586516012826871,5.384869744312737,3.0841925472096716,3.4429380777727197,3.3198079580746183,3.3738694022495506,7.441604801331359,4.3325388896856465
17,4.28212559043533,9.959182604843118,4.294140590425398,4.563196605377495,5.367811233966524,3.0736589366760616,3.4242038470939113,3.306689304816214,3.3738694022495506,7.4338017443578215,4.3325388896856465
18,4.258266771545455,9.959182604843118,4.294140590425398,4.53987719792812,5.350752723620311,3.0631253261424507,3.405469616415103,3.2935706515578094,3.3738694022495506,7.425998687384284,4.3325388896856465
19,4.23440795265558,9.959182604843118,4.294140590425398,4.516557790478745,5.333694213274099,3.0525917156088407,3.386735385736296,3.2804519982994043,3.3738694022495506,7.418195630410746,4.3325388896856465
20,4.215949722011923,9.959182604843118,4.294140590425398,4.49323838302937,5.368790967618287,3.0525917156088407,3.3796347940203195,3.267333345040999,3.3738694022495506,7.411869739302246,4.242027758757305
21,4.1974914913682655,9.959182604843118,4.294140590425398,4.469918975579994,5.3520893378675725,3.0525917156088407,3.3642501786357037,3.267333345040999,3.3738694022495506,7.405543848193747,4.230705193588586
22,4.256558398044865,9.959182604843118,4.215721505052835,4.44659956813062,5.354558104782544,3.0525917156088407,3.3557756023645178,3.267333345040999,3.3738694022495506,7.405543848193747,4.2252997881831815
23,4.293493136667369,9.959182604843118,4.215721505052835,4.459334451763618,5.361309925501399,3.0525917156088407,3.347301026093331,3.267333345040999,3.3738694022495506,7.405543848193747,4.21448897737237
24,4.293510767754501,9.959182604843118,4.215721505052835,4.472069335396615,5.368061746220254,3.0328221132305426,3.331989472830414,3.267333345040999,3.3517920445789726,7.405543848193747,4.203189542344122
25,4.293528398841634,9.959182604843118,4.215721505052835,4.484804219029613,5.374813566939108,3.0130525108522446,3.316677919567498,3.267333345040999,3.3297146869083947,7.405543848193747,4.191890107315873
26,4.293546029928766,9.959182604843118,4.215721505052835,4.49753910266261,5.381565387657961,2.9932829084739465,3.301366366304581,3.267333345040999,3.3076373292378167,7.405543848193747,4.180590672287624
27,4.293546029928766,9.959182604843118,4.246599877889709,4.49753910266261,5.386928320265962,2.9932829084739465,3.301366366304581,3.2545621063509524,3.323021944622432,7.405543848193747,4.180590672287624
28,4.257147221351372,9.959182604843118,4.23271098900082,4.49753910266261,5.360538255831003,2.9932829084739465,3.301366366304581,3.2500781604785844,3.323021944622432,7.408804717758964,4.184213860693421
