Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
BENGALURU,31.0,28.0,28.0,49.0,71.0,74.0,74.0,,31.0,29.0,90.0,,65.0,69.0,87.0,70.0,38.0,300.0,14.0,24.0,16.0,11.0
DHARWAD,28.0,29.0,26.0,52.0,72.0,72.0,82.0,,34.0,37.0,115.0,,70.0,81.0,89.0,59.0,39.0,202.0,16.0,23.0,24.0,13.0
T.PURAM,35.0,29.0,35.0,68.0,71.0,65.0,84.0,61.0,34.0,36.0,160.0,,88.0,,99.0,75.0,57.0,173.0,11.0,39.0,56.0,30.0
ERNAKULAM,35.0,28.0,27.0,77.0,83.0,71.0,80.0,56.0,34.0,34.0,100.0,126.0,80.0,,111.0,65.0,55.0,151.0,14.0,33.0,39.0,26.0
KOZHIKODE,33.0,27.0,43.0,64.0,78.0,64.0,72.0,66.0,34.0,36.0,145.0,135.0,90.0,,108.0,69.0,44.0,158.0,10.0,26.0,30.0,29.0
PUDUCHERRY,,,,,,,,,,,,,,,,,,,,,,
CHENNAI,,,,,,,,,,,,,,,,,,,,,,
DINDIGUL,,,,,,,,,,,,,,,,,,,,,,
THIRUCHIRAPALLI,,,,,,,,,,,,,,,,,,,,,,
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,10.0
