Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
MANGALORE,44.0,42.0,50.0,67.0,102.0,99.0,98.0,100.0,38.0,41.0,179.0,215.0,129.0,155.0,178.0,141.0,56.0,418.0,14.0,30.0,22.0,19.0
MYSORE,50.0,37.0,53.0,103.0,98.0,109.0,122.0,120.0,39.0,38.0,196.0,214.0,190.0,166.0,188.0,148.0,64.0,515.0,18.0,39.0,26.0,15.0
BENGALURU (EAST RANGE),40.0,34.0,36.0,78.0,94.0,96.0,100.0,94.0,45.0,41.0,216.0,195.0,148.0,175.0,174.0,137.0,55.0,355.0,17.0,28.0,25.0,12.0
BELAGAVI,44.0,37.0,33.0,71.0,98.0,100.0,99.0,99.0,38.0,48.0,178.0,171.0,156.0,158.0,175.0,135.0,52.0,273.0,19.0,27.0,22.0,33.0
KALABURAGI,38.0,31.0,36.0,76.0,97.0,101.0,96.0,99.0,37.0,45.0,180.0,176.0,120.0,177.0,176.0,135.0,41.0,179.0,17.0,27.0,23.0,30.0
TUMAKURU,50.0,34.0,34.0,71.0,101.0,107.0,105.0,100.0,39.0,41.0,190.0,205.0,173.0,193.0,177.0,146.0,55.0,315.0,17.0,30.0,24.0,12.0
BELLARY,42.0,35.0,37.0,74.0,98.0,103.0,104.0,92.0,38.0,43.0,175.0,184.0,118.0,131.0,173.0,124.0,42.0,174.0,23.0,31.0,28.0,18.0
DHAVANAGERE,48.0,36.0,59.0,74.0,105.0,111.0,104.0,104.0,38.0,40.0,173.0,207.0,140.0,162.0,175.0,136.0,55.0,268.0,16.0,31.0,23.0,13.0
SHIVAMOGGA,43.0,40.0,39.0,69.0,98.0,99.0,97.0,97.0,40.0,44.0,174.0,164.0,130.0,144.0,170.0,126.0,44.0,240.0,14.0,30.0,27.0,19.0
VIJAYAPUR,56.0,34.0,41.0,75.0,110.0,115.0,120.0,108.0,39.0,45.0,197.0,215.0,168.0,182.0,192.0,127.0,42.0,325.0,16.0,32.0,25.0,20.0
T.PURAM,52.0,39.0,47.0,98.0,124.0,135.0,128.0,118.0,42.0,45.0,200.0,190.0,175.0,,180.0,142.0,71.0,267.0,15.0,42.0,29.0,29.0
ERNAKULAM,47.0,38.0,37.0,93.0,123.0,144.0,125.0,123.0,44.0,48.0,191.0,213.0,191.0,,188.0,137.0,64.0,248.0,17.0,43.0,27.0,31.0
KOZHIKODE,37.0,39.0,50.0,88.0,118.0,128.0,125.0,115.0,42.0,48.0,212.0,226.0,177.0,,183.0,145.0,61.0,222.0,13.0,33.0,24.0,16.0
THRISSUR,44.0,42.0,56.0,98.0,121.0,132.0,126.0,111.0,42.0,48.0,215.0,208.0,183.0,,187.0,150.0,60.0,260.0,15.0,42.0,29.0,26.0
PALAKKAD,38.0,39.0,38.0,81.0,115.0,120.0,113.0,111.0,40.0,44.0,218.0,208.0,190.0,,177.0,128.0,51.0,247.0,12.0,42.0,24.0,15.0
WAYANAD,50.0,44.0,34.0,94.0,123.0,129.0,126.0,117.0,39.0,48.0,,232.0,215.0,,185.0,140.0,52.0,217.0,15.0,35.0,27.0,21.0
KASARGOD,51.0,45.0,46.0,86.0,110.0,116.0,114.0,110.0,39.0,49.0,,,213.0,,177.0,126.0,46.0,240.0,13.0,33.0,24.0,20.0
KOTTAYAM,51.0,38.0,36.0,118.0,118.0,125.0,116.0,106.0,42.0,50.0,,213.0,188.0,,192.0,145.0,59.0,240.0,13.0,41.0,26.0,37.0
PATHANAMTHITTA,51.0,32.0,35.0,95.0,118.0,131.0,118.0,118.0,41.0,48.0,,248.0,190.0,,180.0,145.0,63.0,237.0,14.0,42.0,29.0,40.0
PUDUCHERRY,34.0,39.0,33.0,76.0,117.0,121.0,111.0,100.0,40.0,44.0,175.0,178.0,179.0,,166.0,124.0,48.0,328.0,21.0,40.0,25.0,18.0
CHENNAI,57.0,41.0,34.0,71.0,105.0,112.0,102.0,93.0,40.0,40.0,182.0,186.0,152.0,,177.0,123.0,49.0,303.0,21.0,37.0,27.0,13.0
DINDIGUL,55.0,42.0,47.0,76.0,113.0,116.0,106.0,96.0,40.0,40.0,200.0,215.0,170.0,,186.0,134.0,56.0,290.0,22.0,40.0,27.0,17.0
THIRUCHIRAPALLI,52.0,37.0,59.0,79.0,118.0,119.0,111.0,101.0,40.0,43.0,194.0,220.0,188.0,,178.0,123.0,55.0,,24.0,41.0,35.0,16.0
COIMBATORE,40.0,38.0,42.0,77.0,110.0,120.0,106.0,98.0,40.0,40.0,220.0,209.0,168.0,,195.0,136.0,52.0,220.0,23.0,42.0,21.0,10.0
TIRUNELVELI,36.0,38.0,50.0,75.0,110.0,115.0,103.0,95.0,39.0,40.0,230.0,214.0,160.0,,194.0,133.0,47.0,220.0,22.0,32.0,23.0,15.0
CUDDALORE,49.0,41.0,50.0,79.0,117.0,117.0,111.0,100.0,39.0,46.0,183.0,190.0,167.0,,182.0,143.0,48.0,280.0,22.0,55.0,30.0,15.0
DHARMAPURI,48.0,38.0,35.0,70.0,108.0,112.0,100.0,95.0,39.0,43.0,213.0,,143.0,,189.0,135.0,45.0,270.0,24.0,30.0,25.0,10.0
VELLORE,46.0,39.0,40.0,81.0,115.0,115.0,107.0,98.0,40.0,40.0,195.0,211.0,191.0,,194.0,136.0,53.0,273.0,23.0,33.0,25.0,16.0
RAMANATHAPURAM,49.0,36.0,55.0,68.0,106.0,119.0,102.0,104.0,40.0,43.0,211.0,255.0,177.0,,196.0,138.0,47.0,277.0,18.0,29.0,26.0,15.0
HYDERABAD,46.0,34.0,33.0,69.0,96.0,108.0,100.0,99.0,36.0,50.0,173.0,178.0,144.0,175.0,174.0,127.0,51.0,260.0,16.0,20.0,20.0,28.0
KARIMNAGAR,35.0,32.0,44.0,70.0,102.0,105.0,104.0,90.0,38.0,54.0,171.0,193.0,135.0,,175.0,140.0,48.0,304.0,20.0,25.0,20.0,30.0
WARANGAL,,,,,,,,,,,,,,,,,,,,,,
ADILABAD,51.0,36.0,41.0,67.0,102.0,98.0,98.0,95.0,37.0,70.0,171.0,220.0,165.0,167.0,172.0,133.0,52.0,307.0,21.0,27.0,26.0,30.0
SURYAPET,35.0,35.0,28.0,63.0,93.0,95.0,96.0,90.0,47.0,58.0,183.0,188.0,163.0,,191.0,150.0,55.0,282.0,20.0,15.0,37.0,62.0
JADCHERLA,,,,,,,,,,,,,,,,,,,,,,
